,s
2089,ub1bL42467C1
2090,f48546849c0734cc2bfcb392b68f347bdb200
2091,ub1bL43754C1
2092,obo:VT_0000334
2093,obo:CDAO_0000132
2094,obo:VT_0008495
2095,obo:VT_0010105
2096,ub1bL64682C1
2097,f48546849c0734cc2bfcb392b68f347bdb280
2098,http://www.opengis.net/ont/geosparql#Geometry
2099,obo:VT_0001138
2100,obo:VT_0003834
2101,ub1bL20789C1
2102,prov:wasGeneratedBy
2103,obo:VT_0000899
2104,obo:VT_0009923
2105,ub1bL35662C1
2106,obo:VT_0010380
2107,ub1bL74077C165
2108,obo:VT_1000226
2109,obo:VT_0010500
2110,ub1bL46529C1
2111,obo:VT_0000819
2112,ub1bL23132C1
2113,http://www.georss.org/georss/elev
2114,obo:VT_0008497
2115,ub1bL56808C1
2116,obo:VT_0000838
2117,ub1bL48658C1
2118,obo:VT_0003691
2119,ub1bL11666C1
2120,ub1bL23540C1
2121,obo:VT_0005104
2122,obo:VT_0005085
2123,ub1bL52004C1
2124,ub1bL48453C1
2125,ub1bL48998C1
2126,obo:VT_0000653
2127,ub1bL74251C149
2128,obo:VT_0008754
2129,obo:VT_0002454
2130,obo:VT_0004210
2131,Countries:Burundi
2132,obo:VT_0003755
2133,obo:VT_0015093
2134,obo:VT_0008589
2135,obo:VT_0002400
2136,obo:VT_0000106
2137,:OWLClass_fb55ca91_b10f_4f8a_a6a1_ef15878ea188
2138,ub1bL13408C1
2139,obo:VT_0006057
2140,obo:VT_0008769
2141,ub1bL43412C1
2142,ub1bL60868C1
2143,ub1bL72055C49
2144,obo:VT_0010263
2145,Countries:Antarctica
2146,obo:VT_0000054
2147,obo:VT_0005316
2148,ub1bL55446C1
2149,obo:VT_0004273
2150,obo:VT_0001092
2151,ub1bL29324C1
2152,ub1bL23610C1
2153,ub1bL39945C1
2154,ub1bL73607C124
2155,obo:VT_1000047
2156,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#LightBreeze
2157,ub1bL55833C1
2158,ub1bL46031C1
2159,obo:VT_0010326
2160,obo:VT_0010059
2161,ub1bL7427C1
2162,ub1bL38359C1
2163,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#NeglectibleSolarIrradiance
2164,ub1bL61279C1
2165,ub1bL56247C1
2166,time:hasDateTimeDescription
2167,obo:VT_0002152
2168,obo:VT_0002697
2169,obo:VT_0004293
2170,obo:SIBO_0000525
2171,ub1bL10831C1
2172,ub1bL20517C1
2173,ub1bL65852C1
2174,po:Citrus
2175,obo:VT_0000844
2176,obo:VT_0005070
2177,obo:VT_0000827
2178,obo:VT_0010315
2179,f48546849c0734cc2bfcb392b68f347bdb197
2180,ub1bL53241C1
2181,obo:VT_0000839
2182,obo:VT_0010532
2183,obo:VT_0001431
2184,obo:VT_0001721
2185,obo:VT_0002378
2186,obo:VT_0010453
2187,ub1bL24804C1
2188,untitled-ontology-65:OWLClass_c2604ddd_ec01_4c4f_9666_ecdd98bb28d4
2189,ub1bL59944C1
2190,ub1bL73341C217
2191,obo:VT_0010245
2192,obo:VT_0002433
2193,ub1bL18744C1
2194,obo:VT_0001716
2195,obo:VT_0002894
2196,Countries:Haiti
2197,ub1bL33830C1
2198,http://www.opengis.net/ont/geosparql#ehMeet
2199,skos:Concept
2200,ub1bL67737C1
2201,Countries:Uzbekistan
2202,ub1bL54899C1
2203,obo:VT_0000187
2204,Countries:Brazil
2205,ub1bL16383C1
2206,:OWLClass_530cbd4d_94e0_4553_9e55_d22967a86f57
2207,obo:IAO_0000234
2208,ub1bL56125C1
2209,ub1bL13243C1
2210,obo:VT_0002265
2211,ub1bL38664C1
2212,obo:VT_0003620
2213,Countries:CocosIslands
2214,obo:VT_0005452
2215,obo:VT_0008349
2216,f48546849c0734cc2bfcb392b68f347bdb411
2217,ub1bL50577C1
2218,obo:VT_0010278
2219,obo:VT_0010231
2220,obo:VT_0004391
2221,obo:VT_0004469
2222,f48546849c0734cc2bfcb392b68f347bdb284
2223,ub1bL6580C34
2224,ub1bL52057C1
2225,ub1bL69543C1
2226,obo:VT_0003651
2227,obo:VT_0003816
2228,obo:VT_0008750
2229,Countries:Malta
2230,obo:VT_0010090
2231,obo:VT_0010422
2232,obo:VT_0000889
2233,Countries:Uzbekistan
2234,obo:VT_1000072
2235,ub1bL6376C1
2236,ub1bL20898C1
2237,obo:VT_0005336
2238,obo:VT_0000052
2239,obo:VT_0000183
2240,ub1bL43438C1
2241,ub1bL24302C1
2242,ub1bL41948C1
2243,obo:VT_0010224
2244,ub1bL61861C1
2245,obo:VT_0000072
2246,obo:VT_0006257
2247,ub1bL47441C1
2248,http://www.opengis.net/ont/gml#MultiGeometry
2249,f48546849c0734cc2bfcb392b68f347bdb229
2250,ub1bL6516C34
2251,http://www.opengis.net/ont/gml#GeometricComplex
2252,ub1bL74451C138
2253,ub1bL53684C1
2254,obo:VT_0000662
2255,ub1bL73610C168
2256,obo:VT_0008598
2257,obo:SIBO_0000231
2258,ub1bL21308C1
2259,prov:Influence
2260,obo:VT_0000307
2261,obo:SIBO_0000533
2262,ub1bL68990C1
2263,obo:VT_0010108
2264,obo:VT_0000367
2265,ub1bL56209C1
2266,obo:VT_0010395
2267,obo:VT_0002705
2268,obo:VT_0005194
2269,ub1bL10042C1
2270,obo:VT_0015051
2271,ub1bL69734C1
2272,ub1bL73446C216
2273,obo:VT_0006034
2274,obo:VT_0004453
2275,obo:VT_0008625
2276,obo:VT_0001178
2277,obo:VT_0010014
2278,obo:VT_0000137
2279,ub1bL59185C1
2280,ub1bL41481C1
2281,ub1bL45841C1
2282,obo:IAO_0000116
2283,prov:wasDerivedFrom
2284,obo:VT_0010454
2285,ub1bL56854C1
2286,f48546849c0734cc2bfcb392b68f347bdb408
2287,ub1bL30040C1
2288,ub1bL37710C1
2289,ub1bL28570C1
2290,obo:VT_0002262
2291,obo:VT_0000122
2292,ub1bL30525C1
2293,obo:VT_0003684
2294,obo:VT_0004816
2295,obo:VT_0003372
2296,ub1bL15231C1
2297,ub1bL34175C1
2298,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Temperature
2299,obo:VT_1000135
2300,http://www.opengis.net/ont/gml#Point
2301,ub1bL31137C1
2302,obo:VT_0002284
2303,obo:VT_1000526
2304,http://www.opengis.net/ont/geosparql#rcc8eq
2305,ub1bL14559C1
2306,time:minute
2307,ub1bL4288C1
2308,ub1bL38198C1
2309,obo:VT_0008400
2310,obo:VT_0000804
2311,obo:VT_0001455
2312,ub1bL24918C1
2313,ub1bL51514C1
2314,ub1bL57503C1
2315,ub1bL30701C1
2316,obo:VT_0008897
2317,Countries:Luxembourg
2318,obo:VT_0003679
2319,obo:VT_0002752
2320,Countries:Guam
2321,obo:VT_0010365
2322,obo:VT_0010440
2323,ub1bL38253C1
2324,prov:wasStartedBy
2325,obo:VT_0003769
2326,obo:VT_0000263
2327,ub1bL49116C1
2328,obo:VT_0000366
2329,obo:VT_0002685
2330,obo:VT_0010521
2331,ub1bL39137C1
2332,obo:VT_0000116
2333,Countries:Iceland
2334,ub1bL41704C1
2335,obo:VT_0001010
2336,obo:VT_0005250
2337,obo:VT_0004098
2338,obo:VT_0003940
2339,obo:VT_0008895
2340,obo:VT_1000472
2341,f48546849c0734cc2bfcb392b68f347bdb116
2342,obo:VT_0000166
2343,ub1bL21820C1
2344,obo:VT_0004829
2345,obo:VT_0000643
2346,obo:VT_0002576
2347,obo:VT_1000747
2348,obo:VT_0002239
2349,ub1bL25778C1
2350,ub1bL9271C1
2351,ub1bL29484C1
2352,Countries:Macedonia
2353,ub1bL35646C1
2354,obo:VT_0001310
2355,obo:VT_0002504
2356,ub1bL53348C1
2357,ub1bL32060C1
2358,obo:VT_0010304
2359,obo:VT_0005198
2360,po:derives_by_manipulation_from
2361,obo:VT_0000262
2362,ub1bL67238C1
2363,obo:VT_0010297
2364,obo:VT_0010208
2365,ub1bL55652C1
2366,ub1bL28924C1
2367,obo:VT_0002630
2368,ub1bL27208C1
2369,obo:VT_0006212
2370,obo:VT_0010077
2371,ub1bL13610C1
2372,obo:VT_0002809
2373,obo:VT_0008761
2374,ub1bL36506C1
2375,obo:VT_0010372
2376,po:Musa
2377,obo:VT_0001044
2378,obo:VT_0008598
2379,ub1bL54823C1
2380,obo:VT_1000521
2381,obo:VT_0004399
2382,ub1bL74321C152
2383,ub1bL26232C1
2384,Countries:Guyana
2385,ub1bL73925C121
2386,obo:VT_0002265
2387,obo:VT_0003452
2388,obo:VT_0002756
2389,ub1bL44120C1
2390,obo:VT_0006029
2391,obo:VT_0002899
2392,obo:VT_0001008
2393,obo:VT_0010024
2394,ub1bL17211C1
2395,obo:VT_0002855
2396,ub1bL24336C1
2397,obo:VT_0100031
2398,obo:VT_0010520
2399,obo:VT_0002391
2400,ub1bL13869C1
2401,obo:VT_0004267
2402,ub1bL5903C34
2403,obo:VT_0004281
2404,ub1bL22398C1
2405,ub1bL16636C1
2406,obo:CDAO_0000022
2407,obo:VT_0005466
2408,obo:VT_1000278
2409,obo:VT_0005169
2410,ub1bL35198C1
2411,Countries:NorfolkIsland
2412,ub1bL74224C147
2413,obo:VT_0000804
2414,obo:SIBO_0000068
2415,obo:VT_0002998
2416,ub1bL56998C1
2417,obo:VT_1000528
2418,Countries:SolomonIslands
2419,obo:VT_0000165
2420,ub1bL46511C1
2421,ub1bL34194C1
2422,obo:VT_0007041
2423,obo:VT_0010395
2424,obo:VT_0003648
2425,obo:VT_0002680
2426,obo:VT_0002945
2427,ub1bL34120C1
2428,ub1bL9415C1
2429,ub1bL35315C1
2430,obo:VT_0002784
2431,ub1bL34799C1
2432,obo:VT_0004123
2433,obo:VT_0005404
2434,obo:CDAO_0000085
2435,obo:VT_0003247
2436,ub1bL36180C1
2437,obo:SIBO_0000346
2438,obo:VT_0010060
2439,ub1bL52791C1
2440,ub1bL9326C1
2441,obo:VT_0000496
2442,ub1bL63539C1
2443,obo:VT_0000336
2444,ub1bL16933C1
2445,ub1bL57387C1
2446,ub1bL40758C1
2447,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Forecast4HoursWeatherReport
2448,po:German
2449,ub1bL7942C1
2450,ub1bL16123C1
2451,obo:VT_0008748
2452,obo:VT_0000192
2453,obo:VT_0000497
2454,ub1bL31853C1
2455,obo:VT_0008751
2456,ub1bL15645C1
2457,untitled-ontology-65:OWLClass_f0a772e3_61d6_4210_9ef4_b3e4d4faddaf
2458,dc:publisher
2459,f48546849c0734cc2bfcb392b68f347bdb221
2460,untitled-ontology-65:OWLClass_c4539f4b_c8d0_4f81_a129_fa32d36ec2bc
2461,ub1bL69291C1
2462,obo:VT_0006107
2463,obo:VT_0008470
2464,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#AtmosphericPressure
2465,obo:VT_0000868
2466,obo:VT_0001753
2467,obo:VT_0003512
2468,Countries:HolySee
2469,ub1bL11901C1
2470,obo:VT_0002176
2471,obo:VT_1000280
2472,obo:VT_0010243
2473,obo:VT_0010239
2474,untitled-ontology-65:OWLObjectProperty_ac604810_81fc_4f35_b347_cd20e1aa992f
2475,ub1bL26430C1
2476,obo:VT_0000004
2477,obo:VT_0003987
2478,ub1bL23864C1
2479,obo:VT_0010295
2480,obo:VT_0010522
2481,obo:VT_0000038
2482,obo:VT_0015001
2483,ub1bL18654C1
2484,ub1bL72006C42
2485,obo:VT_0000973
2486,obo:VT_0008089
2487,Countries:Nicaragua
2488,Countries:Ukraine
2489,ub1bL65669C1
2490,time:DayOfWeek
2491,obo:VT_0006105
2492,obo:VT_0010321
2493,obo:MIAPA_0000002
2494,ub1bL44163C1
2495,f48546849c0734cc2bfcb392b68f347bdb330
2496,obo:VT_0004238
2497,ub1bL17551C1
2498,obo:VT_0010145
2499,obo:VT_1000433
2500,ub1bL11077C1
2501,obo:VT_0002361
2502,obo:VT_0010305
2503,ub1bL73211C175
2504,obo:VT_0002455
2505,obo:VT_0002345
2506,obo:VT_0010216
2507,obo:VT_0000969
2508,ub1bL22240C1
2509,obo:VT_0005231
2510,obo:VT_0010335
2511,obo:CDAO_0000165
2512,ub1bL54713C1
2513,prov:wasStartedBy
2514,f48546849c0734cc2bfcb392b68f347bdb103
2515,obo:VT_0003641
2516,obo:VT_0006055
2517,ub1bL69491C1
2518,obo:VT_0010338
2519,time:second
2520,obo:VT_0000171
2521,obo:VT_0003252
2522,ub1bL38697C1
2523,obo:VT_0015063
2524,obo:VT_0008042
2525,ub1bL58212C1
2526,ub1bL73568C174
2527,obo:VT_0000427
2528,f48546849c0734cc2bfcb392b68f347bdb216
2529,ub1bL44270C1
2530,ub1bL55482C1
2531,obo:VT_0010258
2532,ub1bL30413C1
2533,obo:VT_0015046
2534,obo:VT_0006251
2535,obo:VT_0003723
2536,obo:VT_0010442
2537,time:DateTimeInterval
2538,dc:contributor
2539,obo:VT_0010073
2540,ub1bL52729C1
2541,obo:VT_0015060
2542,obo:VT_0010447
2543,obo:BFO_0000056
2544,ub1bL6632C34
2545,obo:VT_0004348
2546,obo:VT_0000971
2547,obo:VT_0000989
2548,obo:VT_0002467
2549,obo:VT_0010435
2550,obo:VT_0001256
2551,ub1bL10541C1
2552,ub1bL66924C1
2553,obo:VT_0010226
2554,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#DewPointTemperature
2555,obo:VT_0000121
2556,obo:VT_0001675
2557,Countries:creationTimestamp
2558,ub1bL38377C1
2559,ub1bL40908C1
2560,obo:VT_1000612
2561,ub1bL26884C1
2562,obo:VT_0009543
2563,obo:VT_0004918
2564,obo:VT_0001308
2565,obo:VT_0004002
2566,obo:VT_0000572
2567,obo:VT_0010137
2568,obo:VT_0010288
2569,ub1bL12465C1
2570,obo:VT_0010486
2571,ub1bL19645C1
2572,obo:VT_0001289
2573,ub1bL74871C146
2574,obo:VT_0002285
2575,obo:VT_0010516
2576,ub1bL26612C1
2577,ub1bL45299C1
2578,obo:VT_0005222
2579,obo:VT_0000936
2580,obo:VT_0008180
2581,obo:VT_0015109
2582,ub1bL62358C1
2583,obo:VT_0010312
2584,obo:VT_0002368
2585,obo:VT_0008739
2586,obo:VT_0008557
2587,ub1bL18995C1
2588,ub1bL12369C1
2589,ub1bL53024C1
2590,untitled-ontology-65:OWLObjectProperty_bfd893e3_f6ac_4f8d_a7b6_45792957f1d3
2591,ub1bL24885C1
2592,obo:VT_0000524
2593,ub1bL31891C1
2594,obo:VT_0004223
2595,obo:VT_0010529
2596,obo:VT_0009539
2597,obo:VT_0007088
2598,obo:VT_0001008
2599,obo:VT_0010100
2600,ub1bL66465C1
2601,obo:VT_0001724
2602,untitled-ontology-65:OWLClass_c05cd6bb_0157_496d_bbad_3c1ce9d81b26
2603,ub1bL33086C1
2604,Countries:Austria
2605,obo:VT_0008756
2606,obo:VT_0010289
2607,obo:VT_3000004
2608,ub1bL44270C1
2609,obo:VT_0008695
2610,prov:qualifiedInvalidation
2611,ub1bL71994C42
2612,ub1bL60625C1
2613,untitled-ontology-65:OWLDataProperty_f644618d_97f9_4902_a72e_aeeb8f27ff7e
2614,ub1bL58393C1
2615,obo:VT_0001388
2616,ub1bL21360C1
2617,obo:VT_0010461
2618,ub1bL9717C1
2619,obo:VT_0004102
2620,obo:VT_0015064
2621,ub1bL29359C1
2622,obo:VT_0001932
2623,ub1bL40367C1
2624,obo:CDAO_0000157
2625,prov:Delegation
2626,obo:VT_0008590
2627,ub1bL20031C1
2628,obo:VT_0001884
2629,obo:VT_0000100
2630,obo:VT_0010284
2631,obo:SIBO_0000245
2632,ub1bL58673C1
2633,Countries:SanMarino
2634,ub1bL11793C1
2635,ub1bL30843C1
2636,obo:VT_0008077
2637,obo:VT_0008208
2638,oboInOwl:SynonymTypeProperty
2639,ub1bL46327C1
2640,ub1bL11955C1
2641,obo:VT_0010039
2642,Countries:Ethiopia
2643,obo:VT_0010042
2644,obo:CDAO_0000173
2645,obo:VT_0006062
2646,ub1bL64851C1
2647,ub1bL41268C1
2648,obo:VT_0001222
2649,obo:VT_0000269
2650,ub1bL40967C1
2651,obo:VT_0008176
2652,obo:VT_0000237
2653,obo:VT_0000821
2654,ub1bL20881C1
2655,ub1bL69640C1
2656,ub1bL20552C1
2657,obo:VT_0000953
2658,obo:VT_0008542
2659,obo:VT_0004816
2660,ub1bL46436C1
2661,ub1bL72996C220
2662,obo:VT_0002399
2663,obo:VT_0005298
2664,obo:VT_1000226
2665,skos:inScheme
2666,ub1bL20981C1
2667,obo:VT_0002983
2668,obo:VT_0005109
2669,obo:VT_0003720
2670,obo:VT_0004043
2671,obo:VT_0010136
2672,obo:VT_0010402
2673,obo:VT_1000705
2674,obo:VT_0010130
2675,prov:wasInvalidatedBy
2676,obo:VT_0006030
2677,ub1bL47273C1
2678,obo:VT_0003677
2679,ub1bL24576C1
2680,ub1bL39344C1
2681,obo:VT_0000197
2682,ub1bL42036C1
2683,ub1bL45114C1
2684,Countries:VirginIslandsBritish
2685,time:hasDurationDescription
2686,ub1bL35936C1
2687,obo:VT_0004330
2688,ub1bL42746C1
2689,obo:VT_0010448
2690,obo:VT_0010459
2691,obo:SIBO_0000303
2692,ub1bL68575C1
2693,obo:VT_0010333
2694,obo:VT_0010303
2695,obo:VT_0010308
2696,ub1bL64722C1
2697,ub1bL74246C194
2698,obo:VT_0004482
2699,ub1bL71807C68
2700,obo:VT_0001501
2701,obo:VT_0100018
2702,ub1bL14937C1
2703,obo:VT_0010114
2704,prov:Influence
2705,ub1bL74167C186
2706,ub1bL11743C1
2707,obo:VT_0008559
2708,ub1bL15883C1
2709,obo:VT_0009858
2710,obo:VT_0002983
2711,obo:VT_0010467
2712,obo:VT_0002473
2713,ub1bL42923C1
2714,untitled-ontology-65:OWLObjectProperty_76f8266a_518e_429f_9d20_fcec54e03802
2715,ub1bL60740C1
2716,obo:CDAO_0000149
2717,ub1bL27170C1
2718,http://www.opengis.net/ont/gml#LineStringSegment
2719,obo:VT_0015005
2720,obo:VT_0000268
2721,obo:VT_0000100
2722,obo:VT_0005082
2723,prov:EntityInfluence
2724,obo:VT_0000939
2725,ub1bL27104C1
2726,ub1bL20517C1
2727,obo:VT_0015027
2728,obo:CDAO_0000165
2729,obo:SIBO_0000519
2730,obo:VT_0001724
2731,ub1bL21049C1
2732,ub1bL44564C1
2733,ub1bL45899C1
2734,ub1bL49809C1
2735,obo:VT_0008595
2736,obo:VT_0010039
2737,untitled-ontology-65:OWLObjectProperty_8381455b_b4df_4b55_a8de_c84a4734d927
2738,http://www.opengis.net/ont/geosparql#asWKT
2739,obo:VT_0008757
2740,Countries:Guyana
2741,obo:CDAO_0000186
2742,obo:VT_0000920
2743,obo:VT_0010346
2744,obo:VT_0004423
2745,f48546849c0734cc2bfcb392b68f347bdb298
2746,ub1bL6429C1
2747,obo:VT_0000875
2748,obo:VT_0005073
2749,ub1bL48073C1
2750,obo:VT_0010318
2751,ub1bL58107C1
2752,ub1bL11042C1
2753,ub1bL46529C1
2754,obo:VT_0001588
2755,ub1bL22615C1
2756,ub1bL46273C1
2757,skos:historyNote
2758,obo:VT_0010349
2759,ub1bL65404C1
2760,ub1bL15984C1
2761,obo:VT_0001778
2762,ub1bL30345C1
2763,ub1bL19920C1
2764,ub1bL74033C162
2765,obo:VT_0004310
2766,obo:VT_0008589
2767,ub1bL61607C1
2768,obo:VT_0003696
2769,ub1bL56306C1
2770,obo:VT_0009332
2771,obo:VT_0001046
2772,obo:VT_0008522
2773,:OWLObjectProperty_e2689a7f_8171_45b5_a33a_500bf329210f
2774,ub1bL22634C1
2775,obo:VT_0005353
2776,obo:VT_0008399
2777,ub1bL65109C1
2778,ub1bL35495C1
2779,obo:VT_0010057
2780,Countries:TrinidadAndTobago
2781,ub1bL20898C1
2782,ub1bL25227C1
2783,ub1bL58371C1
2784,ub1bL32394C1
2785,ub1bL8523C1
2786,obo:VT_1000748
2787,ub1bL32946C1
2788,ub1bL64923C1
2789,ub1bL63078C1
2790,obo:VT_1000574
2791,ub1bL30827C1
2792,obo:VT_0001100
2793,f48546849c0734cc2bfcb392b68f347bdb414
2794,obo:VT_0003933
2795,ub1bL31321C1
2796,obo:VT_1000694
2797,obo:VT_0010194
2798,ub1bL32509C1
2799,obo:VT_0005272
2800,ub1bL38057C1
2801,ub1bL41481C1
2802,obo:VT_0010256
2803,obo:VT_0015071
2804,ub1bL41688C1
2805,obo:VT_0010044
2806,ub1bL59024C1
2807,ub1bL74485C120
2808,obo:VT_0000819
2809,obo:VT_0010435
2810,obo:VT_0008744
2811,f48546849c0734cc2bfcb392b68f347bdb3
2812,Countries:Singapore
2813,obo:VT_0010335
2814,obo:VT_0000020
2815,obo:VT_0010109
2816,obo:VT_0007084
2817,obo:VT_0004087
2818,obo:VT_0002236
2819,obo:VT_0005079
2820,ub1bL51330C1
2821,obo:VT_0010202
2822,obo:VT_0009056
2823,ub1bL35425C1
2824,obo:VT_0005460
2825,obo:VT_0010360
2826,ub1bL24608C1
2827,ub1bL32322C1
2828,ub1bL74652C185
2829,obo:VT_0001053
2830,ub1bL45650C1
2831,ub1bL7978C1
2832,ub1bL66311C1
2833,obo:VT_1000385
2834,obo:VT_0010201
2835,obo:VT_0002184
2836,obo:VT_0000458
2837,obo:VT_0002187
2838,obo:VT_0000051
2839,obo:CDAO_0000087
2840,obo:VT_0005389
2841,ub1bL40491C1
2842,ub1bL58532C1
2843,obo:VT_0004453
2844,obo:VT_0010376
2845,obo:VT_0004276
2846,ub1bL24336C1
2847,obo:VT_0001319
2848,obo:VT_0010132
2849,obo:VT_0005345
2850,ub1bL25971C1
2851,ub1bL68878C1
2852,obo:VT_0000890
2853,obo:VT_0008653
2854,prov:wasDerivedFrom
2855,ub1bL53973C1
2856,untitled-ontology-65:OWLObjectProperty_a0d143f1_8410_426e_8c46_96460cfa8685
2857,time:intervalStartedBy
2858,f48546849c0734cc2bfcb392b68f347bdb55
2859,ub1bL73253C175
2860,ub1bL72356C40
2861,obo:VT_0000119
2862,obo:VT_0002090
2863,obo:VT_0004367
2864,ub1bL66287C1
2865,obo:VT_0003401
2866,ub1bL75032C111
2867,ub1bL35055C1
2868,ub1bL30361C1
2869,obo:VT_0010038
2870,ub1bL24319C1
2871,ub1bL33186C1
2872,obo:VT_0004082
2873,obo:VT_0010294
2874,untitled-ontology-65:OWLClass_c4539f4b_c8d0_4f81_a129_fa32d36ec2bc
2875,ub1bL60521C1
2876,obo:VT_0010134
2877,ub1bL47133C1
2878,obo:VT_0000607
2879,ub1bL25105C1
2880,ub1bL38664C1
2881,obo:VT_0005410
2882,obo:VT_0003450
2883,obo:VT_0008686
2884,obo:VT_0010495
2885,ub1bL50164C1
2886,obo:VT_0002668
2887,ub1bL20435C1
2888,obo:VT_0002059
2889,ub1bL30040C1
2890,ub1bL44672C1
2891,ub1bL48324C1
2892,obo:VT_0010254
2893,untitled-ontology-65:OWLClass_d21e881f_e6ae_4a67_888a_56e84d6cbdb4
2894,obo:VT_0000073
2895,http://data.ordnancesurvey.co.uk/ontology/spatialrelations/easting
2896,Countries:Italy
2897,ub1bL36999C1
2898,ub1bL55965C1
2899,ub1bL14485C1
2900,obo:VT_0000438
2901,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Temperature
2902,obo:VT_0003833
2903,obo:VT_0000970
2904,obo:VT_0001968
2905,obo:VT_0004239
2906,ub1bL15160C1
2907,ub1bL35055C1
2908,ub1bL67714C1
2909,ub1bL32543C1
2910,ub1bL45299C1
2911,f48546849c0734cc2bfcb392b68f347bdb450
2912,obo:VT_0010351
2913,ub1bL29411C1
2914,ub1bL73482C153
2915,obo:VT_0001335
2916,ub1bL48819C1
2917,obo:VT_0001001
2918,ub1bL7978C1
2919,obo:VT_0004096
2920,obo:VT_0008349
2921,ub1bL39927C1
2922,obo:VT_0010044
2923,obo:CDAO_0000023
2924,ub1bL41114C1
2925,ub1bL12659C1
2926,obo:VT_0008193
2927,obo:VT_0005609
2928,obo:VT_0000492
2929,ub1bL14501C1
2930,obo:VT_0000072
2931,ub1bL69658C1
2932,obo:VT_0009334
2933,obo:VT_0001457
2934,obo:VT_1000047
2935,obo:VT_0010226
2936,obo:VT_0002706
2937,obo:VT_0000315
2938,obo:VT_0002393
2939,http://www.opengis.net/ont/geosparql#Geometry
2940,obo:VT_0004183
2941,ub1bL63174C1
2942,ub1bL49834C1
2943,obo:VT_0002790
2944,obo:VT_0002281
2945,ub1bL47781C1
2946,obo:VT_1000777
2947,prov:Invalidation
2948,obo:VT_0015078
2949,obo:VT_0005006
2950,ub1bL55074C1
2951,ub1bL73145C131
2952,obo:VT_0004338
2953,obo:CDAO_0000110
2954,obo:VT_2000004
2955,obo:VT_0003477
2956,obo:VT_0002998
2957,obo:VT_0010392
2958,obo:VT_0010253
2959,obo:VT_0002208
2960,obo:VT_0005495
2961,obo:VT_0010084
2962,obo:VT_0008167
2963,obo:VT_0010350
2964,ub1bL63118C1
2965,ub1bL36161C1
2966,ub1bL74487C162
2967,untitled-ontology-65:OWLObjectProperty_5322ef47_70af_4248_b775_386a876c2b7e
2968,ub1bL54937C1
2969,ub1bL50577C1
2970,ub1bL35628C1
2971,obo:VT_0100026
2972,obo:VT_0005108
2973,f48546849c0734cc2bfcb392b68f347bdb232
2974,ub1bL35158C1
2975,obo:VT_0010384
2976,Countries:Namibia
2977,Countries:DominicanRepublic
2978,obo:VT_0000653
2979,ub1bL27000C1
2980,obo:VT_0000991
2981,obo:VT_0008746
2982,ub1bL8821C1
2983,obo:VT_0006029
2984,ub1bL63806C1
2985,obo:VT_0002465
2986,ub1bL9144C1
2987,prov:aq
2988,obo:CDAO_0000168
2989,obo:VT_0002133
2990,ub1bL46657C1
2991,ub1bL23844C1
2992,obo:VT_0000425
2993,ub1bL10273C1
2994,obo:VT_0006192
2995,obo:VT_0100017
2996,obo:VT_0010505
2997,ub1bL67359C1
2998,obo:VT_0005078
2999,obo:CDAO_0000186
3000,obo:VT_0001072
3001,obo:VT_0002835
3002,https://www.auto.tuwien.ac.at/downloads/thinkhome/ontology/WeatherOntology.owl#Forecast15HoursWeatherReport
3003,obo:VT_0007084
3004,obo:VT_0002669
3005,ub1bL6429C1
3006,obo:VT_0004361
3007,ub1bL37525C1
3008,ub1bL34157C1
3009,obo:VT_0000138
3010,ub1bL32822C1
3011,obo:VT_0002644
3012,obo:VT_0003855
3013,obo:VT_0010259
3014,obo:VT_0002256
3015,obo:VT_0000901
3016,obo:VT_0002244
3017,ub1bL57224C1
3018,Countries:Cyprus
3019,ub1bL44435C1
3020,obo:VT_0001170
3021,obo:VT_0002836
3022,ub1bL60074C1
3023,obo:VT_0015059
3024,ub1bL31796C1
3025,ub1bL47507C1
3026,obo:VT_0008351
3027,ub1bL36180C1
3028,ub1bL25910C1
3029,obo:VT_0006221
3030,obo:VT_1000067
3031,obo:VT_0002210
3032,obo:VT_0000803
3033,obo:VT_0000897
3034,ub1bL52292C1
3035,ub1bL54960C1
3036,Countries:Cameroon
3037,ub1bL23098C1
3038,obo:VT_0008088
3039,ub1bL68065C1
3040,obo:VT_0000277
3041,obo:VT_0007036
3042,ub1bL64432C1
3043,obo:VT_0002634
3044,ub1bL51305C1
3045,obo:VT_0010441
3046,obo:VT_0006228
3047,ub1bL47441C1
3048,Countries:Denmark
3049,obo:VT_0010361
3050,ub1bL71807C68
3051,ub1bL31551C1
3052,ub1bL19920C1
3053,Countries:KoreaSouth
3054,obo:VT_0005464
3055,ub1bL73643C137
3056,ub1bL51305C1
3057,obo:VT_0000675
3058,ub1bL68557C1
3059,obo:VT_0002384
3060,obo:VT_0003464
3061,obo:VT_0006174
3062,ub1bL69491C1
